Price,Property Type,Size (m2),Number of Rooms,Number of Bathrooms,Latitude,Longitude,Location
10300000.0,countryHouse,750.0,10,10,37.7881167,-2.7201309,Castril
8900000.0,chalet,500.0,10,8,37.7969187,-2.7791574,Castril
7200000.0,countryHouse,5799.0,14,14,38.0168114,-2.4195105,"camino de los Burrezos, 24"
5500000.0,chalet,780.0,3,3,37.1733953,-3.5925754,Barrio Molinos - Santiago
5303000.0,countryHouse,300.0,4,2,37.7990535,-2.7878125,Castril
5000000.0,countryHouse,2500.0,4,2,37.3631589,-3.7781967,"carretera De granada, 3416"
5000000.0,chalet,1055.0,10,4,36.7459686,-3.5970735,Centro
4950000.0,chalet,900.0,4,4,36.7331239,-3.7370794,Barrio La Herradura
4900000.0,chalet,674.0,8,10,36.7514496,-3.6177149,Urbanizacion Costa Aguilera Norte
4345000.0,chalet,155.0,4,2,36.739289,-3.7044632,Cotobro
4250000.0,countryHouse,500.0,8,4,36.9976687,-4.0078294,Alhama de Granada
3950000.0,chalet,700.0,8,6,36.7343949,-3.7135752,"calle Barranco de Cotobro, 1"
3750000.0,chalet,1079.0,8,8,36.7438773,-3.6184094,carretera Málaga
3495000.0,countryHouse,1362.0,17,17,36.8150954,-3.6809247,Otivar
3495000.0,chalet,1400.0,19,19,36.8156747,-3.6963906,Lugar Cazulas
3300000.0,chalet,1210.0,6,8,37.181536,-3.5763421,"calle Santo Sepulcro del Sacromonte, 4"
3200000.0,chalet,896.0,5,6,36.7380545,-3.6729304,"Alclub, 9"
3000000.0,chalet,54000.0,5,1,36.9182003,-3.4815936,Lanjaron
3000000.0,countryHouse,582.0,8,6,37.8083816,-2.5399538,Huéscar
2999990.0,chalet,800.0,1,0,37.1826932,-3.5781682,calle Santo Sepulcro del Sacromonte
2999990.0,chalet,800.0,5,2,37.181691,-3.5842223,camino del Sacromonte s/n
2999990.0,chalet,800.0,5,3,37.1820683,-3.5864207,camino del Sacromonte s/n
2750000.0,countryHouse,1000.0,9,6,36.7334648,-3.4402722,DS CORTIJO ROQUE P36 107 Polígono 36 Parcela 107
2700000.0,chalet,484.0,4,3,36.7316503,-3.7120792,calle Bajada del Mar
2700000.0,chalet,484.0,4,3,36.7340267,-3.7134161,"calle Bajada del Mar, 1"
2600000.0,chalet,1513.0,15,15,37.1773252,-2.9481536,Huéneja
2500000.0,chalet,200.0,3,2,36.7452181,-3.7547516,"calle Cataluña, 2"
2500000.0,chalet,408.0,5,5,37.1250737,-3.5732575,La Zubia
2500000.0,chalet,369.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2500000.0,chalet,510.0,7,6,36.7413247,-3.699091,cuesta Grana
2500000.0,chalet,418.0,7,3,36.7451817,-3.5902735,Centro
2500000.0,chalet,500.0,7,6,36.7414514,-3.7044674,Cotobro
2500000.0,chalet,1397.0,19,15,37.1788583,-3.5903655,Albaicín
2500000.0,countryHouse,400.0,12,2,36.921114,-3.4094505,via sin nombre s/n
2490000.0,chalet,1000.0,6,5,36.7214153,-3.7338546,calle Narcisos
2490000.0,chalet,412.0,5,7,36.7355126,-3.7189066,"Tenis, 21"
2490000.0,chalet,1009.0,6,5,36.722451,-3.7341907,camino de la Ermita
2450000.0,chalet,292.0,3,5,36.7238173,-3.7301994,"calle Testa, 3"
2400000.0,countryHouse,46001.0,1,1,37.167909,-4.151674,CORTIJO LA BARRAGANA s/n
2400000.0,chalet,702.0,4,5,36.7380545,-3.6729304,"Alclub, 9"
